pair_id,split,input_path,target_path,source_filename
train_00000,train,dataset/train/input/train_00000.png,dataset/train/target/train_00000.png,4392.jpg
train_00001,train,dataset/train/input/train_00001.png,dataset/train/target/train_00001.png,7002.jpg
train_00002,train,dataset/train/input/train_00002.png,dataset/train/target/train_00002.png,7533.jpg
train_00003,train,dataset/train/input/train_00003.png,dataset/train/target/train_00003.png,1682.jpg
train_00004,train,dataset/train/input/train_00004.png,dataset/train/target/train_00004.png,44.jpg
train_00005,train,dataset/train/input/train_00005.png,dataset/train/target/train_00005.png,2593.jpg
train_00006,train,dataset/train/input/train_00006.png,dataset/train/target/train_00006.png,7757.jpg
train_00007,train,dataset/train/input/train_00007.png,dataset/train/target/train_00007.png,3409.jpg
train_00008,train,dataset/train/input/train_00008.png,dataset/train/target/train_00008.png,3072.jpg
train_00009,train,dataset/train/input/train_00009.png,dataset/train/target/train_00009.png,9292.jpg
train_00010,train,dataset/train/input/train_00010.png,dataset/train/target/train_00010.png,4260.jpg
train_00011,train,dataset/train/input/train_00011.png,dataset/train/target/train_00011.png,4810.jpg
train_00012,train,dataset/train/input/train_00012.png,dataset/train/target/train_00012.png,9102.jpg
train_00013,train,dataset/train/input/train_00013.png,dataset/train/target/train_00013.png,633.jpg
train_00014,train,dataset/train/input/train_00014.png,dataset/train/target/train_00014.png,3782.jpg
train_00015,train,dataset/train/input/train_00015.png,dataset/train/target/train_00015.png,783.jpg
train_00016,train,dataset/train/input/train_00016.png,dataset/train/target/train_00016.png,5260.jpg
train_00017,train,dataset/train/input/train_00017.png,dataset/train/target/train_00017.png,4928.jpg
train_00018,train,dataset/train/input/train_00018.png,dataset/train/target/train_00018.png,4649.jpg
train_00019,train,dataset/train/input/train_00019.png,dataset/train/target/train_00019.png,4759.jpg
train_00020,train,dataset/train/input/train_00020.png,dataset/train/target/train_00020.png,2156.jpg
train_00021,train,dataset/train/input/train_00021.png,dataset/train/target/train_00021.png,8507.jpg
train_00022,train,dataset/train/input/train_00022.png,dataset/train/target/train_00022.png,5159.jpg
train_00023,train,dataset/train/input/train_00023.png,dataset/train/target/train_00023.png,2858.jpg
train_00024,train,dataset/train/input/train_00024.png,dataset/train/target/train_00024.png,9188.jpg
train_00025,train,dataset/train/input/train_00025.png,dataset/train/target/train_00025.png,6353.jpg
train_00026,train,dataset/train/input/train_00026.png,dataset/train/target/train_00026.png,2390.jpg
